timestamp,app,direction,protocol,src_ip,dst_ip,sport,dport,pkt_len,ip_ttl,tcp_flags,tcp_window,payload_len,inter_arrival_ms,flow_id
1777297843.13241,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,97,61,0,0,69,0.437,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.132697,traffic,in,UDP,10.129.9.167,149.156.96.8,61146,53,81,128,0,0,53,1.011,10.129.9.167:61146-149.156.96.8:53-UDP
1777297843.133131,traffic,in,UDP,149.156.96.8,10.129.9.167,53,61146,109,61,0,0,81,0.435,10.129.9.167:61146-149.156.96.8:53-UDP
1777297843.133386,traffic,in,TCP,10.129.9.167,52.123.144.241,54895,443,98,128,24,252,58,215.4,10.129.9.167:54895-52.123.144.241:443-TCP
1777297843.133611,traffic,in,TCP,52.123.144.241,10.129.9.167,443,54895,87,106,24,16384,47,0.225,10.129.9.167:54895-52.123.144.241:443-TCP
1777297843.133797,traffic,in,TCP,10.129.9.167,52.123.144.241,54895,443,40,128,16,252,0,0.186,10.129.9.167:54895-52.123.144.241:443-TCP
1777297843.134033,traffic,in,TCP,10.129.9.167,20.50.88.238,64318,443,809,128,24,254,769,74.266,10.129.9.167:64318-20.50.88.238:443-TCP
1777297843.134273,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,84,128,0,0,56,1.863,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.134778,traffic,in,UDP,10.129.9.167,149.156.96.8,61146,53,83,128,0,0,55,1.646,10.129.9.167:61146-149.156.96.8:53-UDP
1777297843.135194,traffic,in,UDP,10.129.9.167,149.156.96.8,58328,53,83,128,0,0,55,0.0,10.129.9.167:58328-149.156.96.8:53-UDP
1777297843.136225,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,262,61,0,0,234,1.952,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.136551,traffic,in,TCP,10.129.9.167,140.82.112.21,51348,443,52,128,2,65535,0,0.0,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.137348,traffic,in,UDP,149.156.96.8,10.129.9.167,53,61146,148,61,0,0,120,2.571,10.129.9.167:61146-149.156.96.8:53-UDP
1777297843.138094,traffic,in,UDP,149.156.96.8,10.129.9.167,53,58328,160,61,0,0,132,2.901,10.129.9.167:58328-149.156.96.8:53-UDP
1777297843.138551,traffic,in,UDP,10.129.9.167,149.156.96.8,57989,53,81,128,0,0,53,2.326,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.139183,traffic,in,UDP,149.156.96.8,10.129.9.167,53,57989,97,61,0,0,69,0.632,10.129.9.167:57989-149.156.96.8:53-UDP
1777297843.139547,traffic,in,UDP,10.129.9.167,149.156.96.8,58328,53,81,128,0,0,53,1.452,10.129.9.167:58328-149.156.96.8:53-UDP
1777297843.140333,traffic,in,UDP,149.156.96.8,10.129.9.167,53,58328,109,61,0,0,81,0.787,10.129.9.167:58328-149.156.96.8:53-UDP
1777297843.140663,traffic,in,TCP,20.50.88.238,10.129.9.167,443,64318,40,109,16,16386,0,6.63,10.129.9.167:64318-20.50.88.238:443-TCP
1777297843.140945,traffic,in,TCP,140.82.112.21,10.129.9.167,443,51348,52,239,18,65535,0,4.394,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.141228,traffic,in,TCP,10.129.9.167,140.82.112.21,51348,443,40,128,16,255,0,0.283,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.141559,traffic,in,TCP,10.129.9.167,140.82.112.21,51348,443,557,128,24,255,517,0.331,10.129.9.167:51348-140.82.112.21:443-TCP
1777297843.141896,traffic,in,TCP,20.50.88.238,10.129.9.167,443,64318,370,109,24,16386,330,1.233,10.129.9.167:64318-20.50.88.238:443-TCP
